host_gen,pathogen_gen,assay_run,ramping_rate,CTmax
M,C1,29/3/17,0.04,37.65266667
M,C1,29/3/17,0.04,37.96933333
M,C1,29/3/17,0.04,37.32533333
M,C1,29/3/17,0.04,37.73533333
M,C1,31/3/17,0.04,37.28333333
M,C1,31/3/17,0.04,37.15066667
M,C1,31/3/17,0.04,37.44266667
M,C1,31/3/17,0.04,37.42333333
M,C1,31/3/17,0.04,37.52533333
M,C1,31/3/17,0.04,37.44866667
M,C14,27/3/17,0.04,37.55466667
M,C14,27/3/17,0.04,37.50133333
M,C14,27/3/17,0.04,37.61266667
M,C14,27/3/17,0.04,37.594
M,C14,27/3/17,0.04,37.388
M,C14,27/3/17,0.04,37.662
M,C14,29/3/17,0.04,37.68266667
M,C14,29/3/17,0.04,37.528
M,C14,29/3/17,0.04,37.66933333
M,C14,29/3/17,0.04,37.662
M,C14,29/3/17,0.04,37.622
M,C14,29/3/17,0.04,37.704
M,C14,31/3/17,0.04,37.53933333
M,C14,31/3/17,0.04,37.46266667
M,C14,31/3/17,0.04,37.902
M,C14,31/3/17,0.04,37.41533333
M,C14,31/3/17,0.04,37.486
M,C14,31/3/17,0.04,37.522
M,C14,31/3/17,0.04,37.75666667
M,C20,27/3/17,0.04,37.78733333
M,C20,27/3/17,0.04,38.026
M,C20,27/3/17,0.04,38.19866667
M,C20,27/3/17,0.04,37.58066667
M,C20,27/3/17,0.04,37.80266667
M,C20,27/3/17,0.04,38.062
M,C20,29/3/17,0.04,37.89266667
M,C20,29/3/17,0.04,38.162
M,C20,29/3/17,0.04,37.79666667
M,C20,29/3/17,0.04,37.606
M,C20,29/3/17,0.04,37.942
M,C20,29/3/17,0.04,37.872
M,C20,31/3/17,0.04,37.58533333
M,C20,31/3/17,0.04,37.92
M,C20,31/3/17,0.04,38.302
M,C20,31/3/17,0.04,37.78466667
M,CTRL,27/3/17,0.04,37.99266667
M,CTRL,27/3/17,0.04,37.98733333
M,CTRL,27/3/17,0.04,38.21333333
M,CTRL,27/3/17,0.04,38.22133333
M,CTRL,27/3/17,0.04,38.01933333
M,CTRL,27/3/17,0.04,38.20733333
M,CTRL,29/3/17,0.04,38.27866667
M,CTRL,29/3/17,0.04,38.30533333
M,CTRL,29/3/17,0.04,38.026
M,CTRL,29/3/17,0.04,38.29133333
M,CTRL,29/3/17,0.04,37.95333333
M,CTRL,29/3/17,0.04,37.96133333
M,CTRL,31/3/17,0.04,38.04533333
M,CTRL,31/3/17,0.04,37.712
M,CTRL,31/3/17,0.04,37.726
M,CTRL,31/3/17,0.04,37.69266667
M,CTRL,31/3/17,0.04,37.60133333
M,CTRL,31/3/17,0.04,37.70266667
H,C1,21/3/17,0.02,34.52366667
H,C1,21/3/17,0.02,36.38666667
H,C1,21/3/17,0.02,36.059
H,C1,21/3/17,0.02,34.54933333
H,C1,21/3/17,0.02,34.282
H,C1,21/3/17,0.02,33.758
H,C14,21/3/17,0.02,36.072
H,C14,21/3/17,0.02,36.18266667
H,C14,21/3/17,0.02,34.46333333
H,C14,21/3/17,0.02,34.725
H,C14,21/3/17,0.02,36.18066667
H,C14,21/3/17,0.02,33.66233333
H,C20,21/3/17,0.02,36.06466667
H,C20,21/3/17,0.02,34.28333333
H,C20,21/3/17,0.02,33.765
H,C20,21/3/17,0.02,34.86066667
H,C20,21/3/17,0.02,33.93766667
H,C20,21/3/17,0.02,36.075
H,CTRL,21/3/17,0.02,37.314
H,CTRL,21/3/17,0.02,36.719
H,CTRL,21/3/17,0.02,36.915
H,CTRL,21/3/17,0.02,36.178
H,CTRL,21/3/17,0.02,34.51066667
H,CTRL,21/3/17,0.02,34.081
H,C1,23/3/17,0.02,36.37933333
H,C1,23/3/17,0.02,36.39433333
H,C1,23/3/17,0.02,34.31333333
H,C1,23/3/17,0.02,34.32466667
H,C1,23/3/17,0.02,36.04733333
H,C1,23/3/17,0.02,33.48366667
H,C14,23/3/17,0.02,36.05233333
H,C14,23/3/17,0.02,35.97366667
H,C14,23/3/17,0.02,35.37566667
H,C14,23/3/17,0.02,35.786
H,C14,23/3/17,0.02,35.78966667
H,C14,23/3/17,0.02,35.99066667
H,C20,23/3/17,0.02,34.76466667
H,C20,23/3/17,0.02,35.979
H,C20,23/3/17,0.02,35.77566667
H,C20,23/3/17,0.02,36.38566667
H,C20,23/3/17,0.02,35.167
H,C20,23/3/17,0.02,36.55033333
H,CTRL,23/3/17,0.02,35.99333333
H,CTRL,23/3/17,0.02,35.985
H,CTRL,23/3/17,0.02,35.38033333
H,CTRL,23/3/17,0.02,35.571
H,CTRL,23/3/17,0.02,35.97566667
H,CTRL,23/3/17,0.02,36.54566667
H,C1,27/3/17,0.02,36.80333333
H,C1,27/3/17,0.02,36.57833333
H,C1,27/3/17,0.02,36.04766667
H,C1,27/3/17,0.02,36.05266667
H,C1,27/3/17,0.02,36.90466667
H,C1,27/3/17,0.02,36.89066667
H,C1,29/3/17,0.02,36.79933333
H,C1,29/3/17,0.02,36.41433333
H,C1,29/3/17,0.02,36.49233333
H,C1,29/3/17,0.02,36.50166667
H,C1,29/3/17,0.02,36.726
H,C1,29/3/17,0.02,36.80533333
H,C1,31/3/17,0.02,36.49166667
H,C1,31/3/17,0.02,36.58966667
H,C1,31/3/17,0.02,36.30433333
H,C1,31/3/17,0.02,36.50833333
H,C1,31/3/17,0.02,36.609
H,C1,31/3/17,0.02,36.582
H,C14,27/3/17,0.02,36.794
H,C14,27/3/17,0.02,36.67033333
H,C14,27/3/17,0.02,36.674
H,C14,27/3/17,0.02,36.387
H,C14,27/3/17,0.02,36.90166667
H,C14,27/3/17,0.02,36.25533333
H,C14,29/3/17,0.02,36.63766667
H,C14,29/3/17,0.02,36.714
H,C14,29/3/17,0.02,37.10733333
H,C14,29/3/17,0.02,36.875
H,C14,29/3/17,0.02,36.782
H,C14,29/3/17,0.02,36.92966667
H,C14,31/3/17,0.02,36.96166667
H,C14,31/3/17,0.02,36.59833333
H,C14,31/3/17,0.02,37.083
H,C14,31/3/17,0.02,36.50333333
H,C14,31/3/17,0.02,36.85966667
H,C14,31/3/17,0.02,36.64733333
H,C20,27/3/17,0.02,36.87966667
H,C20,27/3/17,0.02,36.96433333
H,C20,27/3/17,0.02,36.582
H,C20,27/3/17,0.02,36.783
H,C20,27/3/17,0.02,36.88266667
H,C20,27/3/17,0.02,36.89466667
H,C20,29/3/17,0.02,36.894
H,C20,29/3/17,0.02,36.79233333
H,C20,29/3/17,0.02,37.09433333
H,C20,29/3/17,0.02,37.02433333
H,C20,29/3/17,0.02,37.13366667
H,C20,29/3/17,0.02,36.859
H,C20,31/3/17,0.02,36.85333333
H,C20,31/3/17,0.02,37.358
H,C20,31/3/17,0.02,36.60533333
H,C20,31/3/17,0.02,36.61733333
H,C20,31/3/17,0.02,36.903
H,C20,31/3/17,0.02,36.669
H,CTRL,27/3/17,0.02,36.65266667
H,CTRL,27/3/17,0.02,37.18466667
H,CTRL,27/3/17,0.02,36.594
H,CTRL,27/3/17,0.02,36.874
H,CTRL,27/3/17,0.02,36.69033333
H,CTRL,27/3/17,0.02,36.87666667
H,CTRL,29/3/17,0.02,36.92
H,CTRL,29/3/17,0.02,36.58066667
H,CTRL,29/3/17,0.02,37.09133333
H,CTRL,29/3/17,0.02,36.88733333
H,CTRL,29/3/17,0.02,36.93466667
H,CTRL,29/3/17,0.02,37.09966667
H,CTRL,31/3/17,0.02,36.877
H,CTRL,31/3/17,0.02,37.01266667
H,CTRL,31/3/17,0.02,36.91866667
H,CTRL,31/3/17,0.02,36.98566667
H,CTRL,31/3/17,0.02,36.83233333
H,CTRL,31/3/17,0.02,37.02333333
M,C1,21/3/17,0.02,37.20566667
M,C1,21/3/17,0.02,35.464
M,C1,21/3/17,0.02,37.186
M,C1,21/3/17,0.02,37.19833333
M,C1,21/3/17,0.02,35.663
M,C14,21/3/17,0.02,37.325
M,C14,21/3/17,0.02,37.45266667
M,C14,21/3/17,0.02,37.43433333
M,C14,21/3/17,0.02,35.26333333
M,C14,21/3/17,0.02,37.32233333
M,C14,21/3/17,0.02,37.425
M,C14,21/3/17,0.02,37.401
M,C20,21/3/17,0.02,37.01233333
M,C20,21/3/17,0.02,37.539
M,C20,21/3/17,0.02,37.078
M,C20,21/3/17,0.02,37.319
M,C20,21/3/17,0.02,37.422
M,C20,21/3/17,0.02,37.72033333
M,CTRL,21/3/17,0.02,37.42966667
M,CTRL,21/3/17,0.02,37.41733333
M,CTRL,21/3/17,0.02,37.31133333
M,CTRL,21/3/17,0.02,37.31566667
M,CTRL,21/3/17,0.02,37.414
M,CTRL,21/3/17,0.02,37.445
M,C1,23/3/17,0.02,NA
M,C1,23/3/17,0.02,37.226
M,C1,23/3/17,0.02,36.76333333
M,C1,23/3/17,0.02,36.75833333
M,C1,23/3/17,0.02,36.98966667
M,C1,23/3/17,0.02,37.04233333
M,C14,23/3/17,0.02,36.55533333
M,C14,23/3/17,0.02,37.14833333
M,C14,23/3/17,0.02,37.188
M,C14,23/3/17,0.02,37.38733333
M,C14,23/3/17,0.02,37.036
M,C14,23/3/17,0.02,37.02566667
M,C20,23/3/17,0.02,36.85766667
M,C20,23/3/17,0.02,37.38233333
M,C20,23/3/17,0.02,36.86233333
M,C20,23/3/17,0.02,36.55933333
M,C20,23/3/17,0.02,37.09033333
M,C20,23/3/17,0.02,37.01333333
M,CTRL,23/3/17,0.02,36.85566667
M,CTRL,23/3/17,0.02,37.38433333
M,CTRL,23/3/17,0.02,36.99233333
M,CTRL,23/3/17,0.02,37.02166667
